TENURE,AGE,GENDER,NATIONALITY,STATE,STATUS_BEFORE,STATUS_AFTER,OFFER_TAKER,OFFER_TAKE_UP_DT,DATA_PURC_BEFORE,DATA_PURC_AFTER,DATA_CHRG_BEFORE,DATA_CHRG_AFTER,DATA_USG_BEFORE,DATA_USG_AFTER,VOICE_USG_BEFORE,VOICE_USG_AFTER,RLD_IND_BEFORE,RLD_IND_AFTER,RLD_AMT_BEFORE,RLD_AMT_AFTER,CPA_RVN_BEFORE,CPA_RVN_AFTER,ARPU_BEFORE,ARPU_AFTER,ACTVIITY_DAYS_AFTER,ACTIVITY_STATUS_AFTER
228,78,Female,Malaysia,PENANG,Active,Close,N,?,N,N,?,?,0.000000,0.000000,0.0000,0.0000,N,N,?,?,?,?,?,?,1,DURING & AFTER CAMP
19,26,Female,Malaysia,JOHORE,Active,Active,Y,10/6/2022,Y,N,15.00,?,0.000002,0.000000,0.0000,0.0000,N,N,?,?,?,?,?,?,37,NO ACTIVITY SINCE SEP
27,26,Male,Malaysia,KLANG VALLEY,Active,Close,N,?,Y,N,29.99,?,0.011150,0.000000,0.0000,0.0000,Y,N,10.00,?,?,?,?,?,34,NO ACTIVITY SINCE SEP
123,38,Female,Malaysia,KLANG VALLEY,Active,Active,Y,10/6/2022,Y,N,15.00,?,0.000000,0.000000,0.0000,0.0000,N,N,?,?,?,?,?,?,36,NO ACTIVITY SINCE SEP
35,23,Female,Malaysia,SARAWAK,Active,Active,Y,10/6/2022,Y,N,15.00,?,7.032007,0.000000,0.0000,0.0000,N,N,?,?,?,?,?,?,36,NO ACTIVITY SINCE SEP
27,22,Female,Malaysia,KEDAH,Active,Active,Y,10/6/2022,Y,N,15.00,?,0.000017,0.000000,0.0000,0.0000,N,N,?,?,?,?,?,?,39,NO ACTIVITY SINCE SEP
54,25,Male,Malaysia,JOHORE,Active,Active,Y,10/6/2022,Y,N,8.00,?,23.647617,0.000000,11.9166,0.0000,Y,N,50.00,?,?,?,43.500000,?,37,NO ACTIVITY SINCE SEP
43,43,Female,Malaysia,KLANG VALLEY,Active,Active,Y,10/6/2022,Y,N,15.00,?,1.719432,0.000000,0.4000,0.0000,N,N,?,?,?,?,0.120000,?,37,NO ACTIVITY SINCE SEP
25,23,Female,Malaysia,SABAH,Active,Active,Y,10/6/2022,Y,Y,15.00,1.00,0.098228,0.000004,0.0000,0.0000,N,N,?,?,?,?,2.000000,1.000000,1,BEFORE & AFTER CAMP
39,32,Male,Malaysia,JOHORE,Active,Active,Y,10/5/2022,Y,N,45.00,?,1.056761,0.000000,0.0000,0.0000,Y,N,40.00,?,?,?,?,?,39,NO ACTIVITY SINCE SEP
147,67,Male,Malaysia,KLANG VALLEY,Active,Active,N,?,N,N,?,?,0.000000,0.000000,0.0000,0.0000,N,N,?,?,?,?,?,?,23,BEFORE CAMP THEN REMAIN
196,48,Male,Malaysia,MALACCA,Active,Active,N,?,N,N,?,?,0.000000,0.000000,0.0000,0.0000,N,N,?,?,?,?,?,?,2,BEFORE & AFTER CAMP
188,69,Male,Malaysia,KLANG VALLEY,Active,Active,N,?,N,N,?,?,0.000000,0.000000,0.0000,0.0000,N,N,?,?,?,?,?,?,2,BEFORE & AFTER CAMP
78,21,Female,Malaysia,KELANTAN,Active,Active,Y,10/5/2022,Y,Y,15.00,14.99,0.036803,15.303912,0.0000,2.1333,N,Y,?,15.00,?,?,?,20.900000,0,BEFORE & AFTER CAMP
22,68,Male,Malaysia,PENANG,Active,Close,N,?,N,N,?,?,0.000000,0.000000,0.0000,0.0000,N,N,?,?,?,?,?,?,1,DURING & AFTER CAMP
209,59,Female,Malaysia,KLANG VALLEY,Active,Active,Y,10/6/2022,Y,N,15.00,?,0.000000,0.000000,0.0000,2.2333,N,N,?,?,?,?,?,0.900000,0,BEFORE & AFTER CAMP
37,36,Male,Malaysia,KLANG VALLEY,Active,Active,Y,10/5/2022,Y,N,15.00,?,1.514187,0.416586,0.0000,0.0167,N,N,?,?,?,?,?,0.010000,1,DURING & AFTER CAMP
113,24,Male,Malaysia,JOHORE,Active,Active,Y,10/5/2022,Y,N,15.00,?,0.000000,0.000000,0.0000,0.0000,N,Y,?,5.00,?,?,?,?,1,DURING & AFTER CAMP
