TENURE,AGE,GENDER,NATIONALITY,STATE,STATUS_BEFORE,STATUS_AFTER,OFFER_TAKER,DATE_ID,DATA_PURC_BEFORE,DATA_PURC_AFTER,DATA_CHRG_BEFORE,DATA_CHRG_AFTER,DATA_USG_BEFORE,DATA_USG_AFTER,VOICE_USG_BEFORE,VOICE_USG_AFTER,RLD_IND_BEFORE,RLD_IND_AFTER,RLD_AMT_BEFORE,RLD_AMT_AFTER,CPA_RVN_BEFORE,CPA_RVN_AFTER,ARPU_BEFORE,ARPU_AFTER,ACTVIITY_DAYS_AFTER,ACTIVITY_STATUS_AFTER,ID,PLAN_ID,PLAN_TYPE,VAS_ID,VAS_TYPE,YEAR,MONTH,DAY,QUARTER
25,38,Male,Malaysia,SARAWAK,Active,Active,Y,10/5/2022,Y,N,15.00,?,0.0,0.0,0.0,0.0,Y,N,5.00,?,?,?,?,?,35,NO ACTIVITY SINCE SEP,120,1,Saver,2,Roaming,2022,10,5,4
28,41,Male,Malaysia,KEDAH,Active,Active,Y,10/5/2022,Y,N,14.99,?,15.884299,0.0,1.1,0.0,Y,N,40.00,?,13.47,?,12.500000,?,36,NO ACTIVITY SINCE SEP,122,1,Saver,1,Caller_tune,2022,10,5,4
146,29,Female,Malaysia,KLANG VALLEY,Active,Active,Y,10/6/2022,Y,N,15.00,?,0.0,0.0,0.0,0.0,N,N,?,?,?,?,?,?,11,DURING & AFTER CAMP,123,1,Saver,1,Caller_tune,2022,10,6,4
21,24,Male,Malaysia,KLANG VALLEY,Active,Active,Y,10/6/2022,Y,N,15.00,?,0.07072,5.991636,0.0,0.0,N,N,?,?,?,?,?,?,3,DURING & AFTER CAMP,124,2,Premium,1,Caller_tune,2022,10,6,4
59,29,Female,Malaysia,JOHORE,Active,Active,Y,10/6/2022,Y,N,27.98,?,4.877975,3.579728,0.0,0.0,Y,N,30.00,?,?,?,27.990000,?,11,DURING & AFTER CAMP,125,2,Premium,2,Roaming,2022,10,6,4
216,39,Female,Malaysia,MALACCA,Active,Active,Y,10/5/2022,Y,N,15.00,?,0.985503,1.425295,0.0,1.1167,N,Y,?,30.00,?,?,2.000000,44.390000,1,BEFORE & AFTER CAMP,126,2,Premium,2,Roaming,2022,10,5,4
43,26,Female,Malaysia,SABAH,Active,Active,Y,10/6/2022,Y,N,15.00,?,0.006528,0.0,0.7833,0.0833,Y,N,10.00,?,?,?,1.800000,?,0,BEFORE & AFTER CAMP,128,1,Saver,1,Caller_tune,2022,10,6,4
176,27,Female,Malaysia,PERAK,Active,Active,Y,10/5/2022,Y,Y,15.00,10.00,0.0,1.149803,0.0,0.95,Y,Y,5.00,20.00,?,?,?,10.300000,7,DURING & AFTER CAMP,130,2,Premium,1,Caller_tune,2022,10,5,4
27,54,Female,Malaysia,SABAH,Active,Active,Y,10/6/2022,Y,N,15.00,?,0.082973,0.075099,0.0,0.0,N,N,?,?,?,?,?,?,0,DURING & AFTER CAMP,134,1,Saver,1,Caller_tune,2022,10,6,4
71,24,Female,Malaysia,PERAK,Active,Active,Y,10/5/2022,Y,N,27.98,?,0.095688,0.0,0.0,0.0,Y,N,10.00,?,?,?,27.980000,?,37,NO ACTIVITY SINCE SEP,135,1,Saver,1,Caller_tune,2022,10,5,4
18,25,Female,Malaysia,SABAH,Active,Active,Y,10/5/2022,Y,Y,15.00,14.99,28.391176,10.955425,1.2,0.0,Y,Y,25.00,10.00,?,?,21.810000,17.810000,0,DURING & AFTER CAMP,137,1,Saver,2,Roaming,2022,10,5,4
30,33,Male,Malaysia,SABAH,Active,Active,Y,10/6/2022,Y,Y,27.98,27.99,3.914991,12.105611,0.0,2.3833,N,Y,?,30.00,?,?,3.000000,27.990000,0,BEFORE & AFTER CAMP,138,1,Saver,1,Caller_tune,2022,10,6,4
48,30,Male,Malaysia,KLANG VALLEY,Active,Active,Y,10/6/2022,Y,N,15.00,?,5.377552,0.0,20.5167,0.0,Y,N,45.00,?,?,?,17.700000,?,39,NO ACTIVITY SINCE SEP,139,1,Saver,2,Roaming,2022,10,6,4
84,32,Male,Malaysia,SABAH,Active,Active,Y,10/5/2022,Y,N,15.00,?,2.702281,0.0,0.0,0.0,Y,N,5.00,?,?,?,?,?,39,NO ACTIVITY SINCE SEP,141,2,Premium,2,Roaming,2022,10,5,4
43,63,Female,Malaysia,PENANG,Active,Active,Y,10/5/2022,Y,Y,15.00,8.00,8.96681,32.612324,1.2333,0.15,Y,Y,30.00,25.00,21.19,?,28.090000,24.430000,0,DURING & AFTER CAMP,142,1,Saver,1,Caller_tune,2022,10,5,4
179,32,Female,Malaysia,SARAWAK,Active,Active,Y,10/6/2022,Y,N,49.98,?,1.505584,0.0,1.7,0.0,Y,N,60.00,?,?,?,89.340000,?,34,NO ACTIVITY SINCE SEP,143,1,Saver,2,Roaming,2022,10,6,4
46,31,Female,Malaysia,JOHORE,Active,Active,Y,10/6/2022,Y,N,15.00,?,1.748762,0.0,5.1166,0.0,Y,N,30.00,?,?,?,12.210000,2.000000,11,DURING & AFTER CAMP,146,2,Premium,1,Caller_tune,2022,10,6,4
51,29,Male,Malaysia,KLANG VALLEY,Active,Active,Y,10/5/2022,Y,Y,15.00,5.00,0.399968,9.896361,0.0,0.0,N,N,?,?,?,?,?,9.500000,12,BEFORE & AFTER CAMP,147,1,Saver,1,Caller_tune,2022,10,5,4
